# libSceAvPlayer
9y5v+fGN4Wk sceAvPlayerPause
BOVKAzRmuTQ sceAvPlayerDisableStream
ET4Gr-Uu07s sceAvPlayerStart
HD1YKVU26-M sceAvPlayerPostInit
JdksQu8pNdQ sceAvPlayerGetVideoDataEx
KMcEa+rHsIo sceAvPlayerAddSource
N6Oy-EjduiY sceAvPlayerSetAvailableBandwidth
NkJwDzKmIlw sceAvPlayerClose
NxSdL9t-KXk sceAvPlayerStartEx
ODJK2sn9w4A sceAvPlayerEnableStream
OVths0xGfho sceAvPlayerSetLooping
UbQoYawOsfY sceAvPlayerIsActive
Wnp1OVcrZgk sceAvPlayerGetAudioData
XC9wM+xULz8 sceAvPlayerJumpToTime
ZC17w3vB5Lo sceAvPlayerStop
aS66RI0gGgo sceAvPlayerInit
agig-iDRrTE sceAvPlayerPrintf
av8Z++94rs0 sceAvPlayerSetTrickSpeed
buMCiJftcfw sceAvPlayerChangeStream
ctTAcF5DiKQ sceAvPlayerGetStreamInfoEx
d8FcbzfAdQw sceAvPlayerGetStreamInfo
eBTreZ84JFY sceAvPlayerSetLogCallback
hdTyRzCXQeQ sceAvPlayerStreamCount
k-q+xOxdc3E sceAvPlayerSetAvSyncMode
o9eWRkSL+M4 sceAvPlayerInitEx
w5moABNwnRY sceAvPlayerResume
wwM99gjFf1Y sceAvPlayerCurrentTime
x8uvuFOPZhU sceAvPlayerAddSourceEx
yN7Jhuv8g24 sceAvPlayerVprintf
1 stub library, 29 symbols
